request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2767,BasicRequest,1,28740,28740,4868;-1;-1,2944;-1;-1,,,,,1112.1662630528263,23921.561,0:t_wait:1135.8973674937806;t_drive:1142.1662630528263;fare:2392,,,0,16,29875.89736749377,31164.98606827228,2392,0
1033,BasicRequest,1,29640,29640,2980;-1;-1,2944;-1;-1,,,,,444.3918710111103,7413.904,0:t_wait:1050.5941972611763;t_drive:474.3918710111102;fare:741,,,0,16,30690.594197261176,31164.98606827228,741,0
1045,BasicRequest,1,29640,29640,2980;-1;-1,2944;-1;-1,,,,,444.3918710111103,7413.904,0:t_wait:1050.5941972611763;t_drive:474.3918710111102;fare:741,,,0,16,30690.594197261176,31164.98606827228,741,0
139,BasicRequest,1,31320,31320,9592;-1;-1,2944;-1;-1,,,,,7938.133896758643,191260.505,0:,,,,,,,,0
1135,BasicRequest,1,30540,30540,10750;-1;-1,2944;-1;-1,,,,,407.1282308482329,5973.976000000001,0:t_wait:378.78833424426557;t_drive:437.1282308482332;fare:597,,,0.0,10.0,30918.78833424426,31355.916565092484,597.0,0
289,BasicRequest,1,31380,31380,11265;-1;-1,2944;-1;-1,,,,,6554.206582281889,153629.32300000003,0:,,,,,,,,0
2747,BasicRequest,1,31380,31380,10719;-1;-1,2944;-1;-1,,,,,5587.264650366429,121813.658,0:,,,,,,,,0
2683,BasicRequest,1,31380,31380,10859;-1;-1,2944;-1;-1,,,,,5017.1048717119465,102527.008,0:,,,,,,,,0
2737,BasicRequest,1,31380,31380,12113;-1;-1,2944;-1;-1,,,,,4934.237766863865,105777.47900000004,0:,,,,,,,,0
2629,BasicRequest,1,31380,31380,4629;-1;-1,2944;-1;-1,,,,,4107.830437941931,90067.98400000001,0:,,,,,,,,0
1939,BasicRequest,1,31380,31380,3293;-1;-1,2944;-1;-1,,,,,3045.0405504288365,72956.44,0:,,,,,,,,0
659,BasicRequest,1,29640,29640,10011;-1;-1,2944;-1;-1,,,,,590.4850718764126,11248.866000000002,0:t_wait:1139.8875481144823;t_drive:620.4850718764137;fare:1124,,,0.0,5.0,30779.88754811448,31400.37261999088,1124.0,0
663,BasicRequest,1,29640,29640,10011;-1;-1,2944;-1;-1,,,,,590.4850718764126,11248.866000000002,0:t_wait:1139.8875481144823;t_drive:620.4850718764137;fare:1124,,,0.0,5.0,30779.88754811448,31400.37261999088,1124.0,0
1613,BasicRequest,1,30540,30540,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:t_wait:427.49913589749485;t_drive:448.44447833296726;fare:639,,,0.0,18.0,30967.499135897495,31415.94361423046,639.0,0
2597,BasicRequest,1,31440,31440,10540;-1;-1,2944;-1;-1,,,,,2953.2790413648163,63816.981999999996,0:,,,,,,,,0
2599,BasicRequest,1,31440,31440,10540;-1;-1,2944;-1;-1,,,,,2953.2790413648163,63816.981999999996,0:,,,,,,,,0
2975,BasicRequest,1,31440,31440,5038;-1;-1,2944;-1;-1,,,,,3396.969536730344,72392.84600000002,0:,,,,,,,,0
1955,BasicRequest,1,31440,31440,3284;-1;-1,2944;-1;-1,,,,,2544.1864547864634,57954.984,0:,,,,,,,,0
2003,BasicRequest,1,31440,31440,10232;-1;-1,2944;-1;-1,,,,,2200.7123993044484,39602.398,0:,,,,,,,,0
227,BasicRequest,1,31440,31440,10773;-1;-1,2944;-1;-1,,,,,1922.0443093062295,38033.16099999999,0:,,,,,,,,0
2919,BasicRequest,1,31440,31440,4951;-1;-1,2944;-1;-1,,,,,1799.5970441123773,32809.02099999999,0:,,,,,,,,0
2207,BasicRequest,1,31440,31440,4085;-1;-1,2944;-1;-1,,,,,1526.8457267854053,25785.518000000004,0:,,,,,,,,0
95,BasicRequest,1,31440,31440,9596;-1;-1,2944;-1;-1,,,,,1369.74343588103,28280.190000000002,0:,,,,,,,,0
1795,BasicRequest,1,31440,31440,6323;-1;-1,2944;-1;-1,,,,,inf,inf,0:,,,,,,,,0
1281,BasicRequest,1,29640,29640,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:1098.967608177678;t_drive:764.4767280738961;fare:1275,,,0,11,30738.96760817768,31533.444336251578,1275,0
1147,BasicRequest,1,29640,29640,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:1098.967608177678;t_drive:764.4767280738961;fare:1275,,,0,11,30738.96760817768,31533.444336251578,1275,0
1141,BasicRequest,1,30540,30540,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:t_wait:198.96760817768154;t_drive:764.4767280738961;fare:1275,,,0,11,30738.96760817768,31533.444336251578,1275,0
731,BasicRequest,1,30540,30540,10066;-1;-1,2944;-1;-1,,,,,544.244138553032,8701.984,0:t_wait:419.2001976985448;t_drive:574.2441385530328;fare:870,,,0,11,30959.200197698545,31533.444336251578,870,0
1661,BasicRequest,1,30540,30540,6465;-1;-1,2944;-1;-1,,,,,529.3676136718705,8582.099,0:t_wait:531.0659696152652;t_drive:559.3676136718714;fare:858,,,0,17,31071.065969615265,31630.433583287137,858,0
449,BasicRequest,1,30540,30540,3028;-1;-1,2944;-1;-1,,,,,100.0934860791131,1298.0140000000001,0:t_wait:1125.7126234877323;t_drive:130.09348607911306;fare:129,,,0,11,31665.712623487732,31795.80610956684,129,0
3041,BasicRequest,1,27840,27840,5047;-1;-1,2944;-1;-1,,,,,2415.4784010186713,52081.10800000001,0:t_wait:1159.8627106421409;t_drive:2445.4784010186704;fare:5208,,,0,2,28999.862710642134,31817.268345630597,5208,0
