operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,10,default_vehtype,boarding,True,33005.7873146794,33035.7873146794,2944;-1;-1,2944;-1;-1,0.0,0.7581849332764525,0.7581849332764525,0.0,,0,1179;487,2,,1179;487,,
0,17,default_vehtype,boarding,True,32983.28070264508,33013.28070264508,3013;-1;-1,3013;-1;-1,0.0,0.8945017294083627,0.8945017294083627,0.0,,0,1397,1,1397,,,
0,17,default_vehtype,route,False,33013.28070264508,33014.16820711896,3013;-1;-1,3022;-1;-1,14.283,0.8945017294083627,0.8945003011083626,0.0,,0,1397,1,,,3013;3022,3013:33013.28070264508;3022:33014.16820711896
0,17,default_vehtype,boarding,True,33014.16820711896,33044.16820711896,3022;-1;-1,3022;-1;-1,0.0,0.8945003011083626,0.8945003011083626,0.0,,0,1397;857,2,857,,,
0,30,default_vehtype,route,False,32430.0,33010.453385265755,2944;-1;-1,2967;-1;-1,9273.166,0.8084669984373785,0.8075396818373787,0.0,,0,1748;2066;2228,3,,,2944;2945;3008;2958;6735;5678;5677;5953;5954;5951;6725;5527;5525;5523;5522;5521;5210;5209;5638;2967,2944:32430;2945:32493.109245577256;3008:32520.27643739135;2958:32558.220469245323;6735:32558.75615335015;5678:32560.885281740353;5677:32585.828923373218;5953:32635.372836918115;5954:32636.072563017693;5951:32720.52131977821;6725:32742.403030587087;5527:32745.83236576962;5525:32747.957175630036;5523:32756.0168011669;5522:32758.125225468975;5521:32760.513378654374;5210:32882.779786582076;5209:32883.626243274986;5638:32884.74582988916;2967:33010.453385265755
0,30,default_vehtype,boarding,True,33010.453385265755,33040.453385265755,2967;-1;-1,2967;-1;-1,0.0,0.8075396818373787,0.8075396818373787,0.0,,0,1748;2066;2228,3,,1748,,
0,8,default_vehtype,route,False,32340.0,33069.908213841154,2944;-1;-1,10742;-1;-1,12818.132000000001,0.9576645933881073,0.9563827801881074,0.0,,0,,0,,,2944;2986;3046;2935;5919;5744;2946;5939;2952;10856;10834;10886;10890;11009;9990;9960;10014;9991;10102;10101;10100;10053;10049;10079;10080;10922;10742,2944:32340;2986:32377.72097734942;3046:32381.61151287197;2935:32399.24902853052;5919:32416.367407199097;5744:32447.144015556292;2946:32479.666161225585;5939:32487.929739428877;2952:32518.36739601442;10856:32524.918935026588;10834:32579.63585073883;10886:32640.76276331936;10890:32644.44599077104;11009:32750.90415012044;9990:32764.09989944439;9960:32769.55591133495;10014:32779.3958833981;9991:32782.31800570383;10102:32805.34906680699;10101:32878.48271629399;10100:32879.602427182406;10053:32983.34748059876;10049:32987.61103896507;10079:33035.58061831976;10080:33052.704407841775;10922:33068.1873834904;10742:33069.908213841154
0,8,default_vehtype,boarding,True,33069.908213841154,33099.908213841154,10742;-1;-1,10742;-1;-1,0.0,0.9563827801881074,0.9563827801881074,0.0,,0,1239;1263;1267,3,1239;1263;1267,,,
0,20,default_vehtype,route,False,32952.84009846657,33071.63904319658,2947;-1;-1,2944;-1;-1,1577.61,0.7679795605984489,0.7678217995984489,0.0,,0,885;887;515;427,4,,,2947;2935;2936;2948;2985;2986;2944,2947:32952.84009846657;2935:32990.82886904639;2936:32999.27679053782;2948:33004.79419390217;2985:33027.815144408356;2986:33033.91806584715;2944:33071.63904319658
0,20,default_vehtype,boarding,True,33071.63904319658,33101.63904319658,2944;-1;-1,2944;-1;-1,0.0,0.7678217995984489,0.7678217995984489,0.0,,0,885;887;515;427,4,,885;887;515;427,,
