request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
7127,BasicRequest,1,39300,39300,1521;-1;-1,4994;-1;-1,,,,,556.7578255649998,7012.42,0:t_wait:39.38385837497481;t_drive:644.0310923399957;fare:701,,,0,396,39339.38385837498,40013.414950714985,701,0
7173,BasicRequest,1,39360,39360,3562;-1;-1,4420;-1;-1,,,,,242.35011474299998,2906.3219999999997,0:t_wait:361.228171484021;t_drive:272.3501147429997;fare:290,,,0,399,39721.22817148402,39993.57828622703,290,0
6766,BasicRequest,1,38640,38640,5410;-1;-1,5881;-1;-1,,,,,277.61140120000005,3214.889,0:t_wait:609.1185607910375;t_drive:307.61140120000346;fare:321,,,0,2,39762.209643420065,40069.821044620076,321,0
6751,BasicRequest,1,38580,38580,1521;-1;-1,1608;-1;-1,,,,,417.050104958,5667.678,0:t_wait:926.4003993489605;t_drive:447.050104957998;fare:566,,,0,5,39506.40039934898,40053.79598315299,566,0
7131,BasicRequest,1,39300,39300,3146;-1;-1,8523;-1;-1,,,,,251.81119936800002,2748.629,0:t_wait:486.57911536799656;t_drive:281.8111993679995;fare:274,,,0,8,39786.57911536801,40068.390314735996,274,0
6851,BasicRequest,1,38760,38760,1973;-1;-1,4254;-1;-1,,,,,583.4109310009999,6595.066000000001,0:t_wait:654.5348911290421;t_drive:613.4109310010026;fare:659,,,0,18,39414.53489112907,40027.94582213008,659,0
6876,BasicRequest,1,38820,38820,11447;-1;-1,4994;-1;-1,,,,,605.0359221169999,7601.697000000001,0:t_wait:384.8709281109914;t_drive:635.0359221170002;fare:760,,,0,32,39204.87092811098,40060.569095855,760,0
7072,BasicRequest,1,39180,39180,4420;-1;-1,4994;-1;-1,,,,,413.3189663419999,4933.005,0:t_wait:437.25012951297686;t_drive:443.318966341998;fare:493,,,0,32,39617.250129512984,40060.569095855,493,0
6650,BasicRequest,1,38400,38400,1973;-1;-1,1174;-1;-1,,,,,536.646773274,6802.867,0:t_wait:1101.0852959059994;t_drive:566.6467732739984;fare:680,,,0,37,39501.08529590599,40067.73206917998,680,0
6894,BasicRequest,1,38880,38880,1973;-1;-1,1174;-1;-1,,,,,536.646773274,6802.867,0:t_wait:621.0852959059994;t_drive:566.6467732739984;fare:680,,,0,37,39501.08529590599,40067.73206917998,680,0
