,request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
45,221,BasicRequest,1,27480,27480,9849;-1;-1,2944;-1;-1,,,,,1741.8524822744855,36200.953,0:t_wait:785.9467601608012;t_drive:2041.852482274484;fare:3620,,,0.0,14.0,28265.9467601608,30307.799242435285,3620.0,0
46,2869,BasicRequest,1,27900,27900,4814;-1;-1,2944;-1;-1,,,,,1457.4421252319858,32092.27,0:t_wait:1000.1363138328779;t_drive:1757.4421252319844;fare:3209,,,0.0,32.0,28900.136313832863,30657.57843906484,3209.0,0
47,2865,BasicRequest,1,27900,27900,4814;-1;-1,2944;-1;-1,,,,,1457.4421252319858,32092.27,0:t_wait:1000.1363138328779;t_drive:1757.4421252319844;fare:3209,,,0.0,32.0,28900.136313832863,30657.57843906484,3209.0,0
48,19,BasicRequest,1,25560,25560,2379;-1;-1,2944;-1;-1,,,,,2051.6350574657754,43036.007,0:t_wait:2023.3981194142107;t_drive:2351.635057465777;fare:4303,,,0.0,10.0,28341.16027357541,30692.795331041183,4303.0,0
49,13,BasicRequest,1,27240,27240,2375;-1;-1,2944;-1;-1,,,,,2282.233090776711,48492.60800000001,0:t_wait:570.5622402644767;t_drive:2882.2330907767137;fare:4849,,,0.0,10.0,27810.562240264477,30692.795331041183,4849.0,0
50,665,BasicRequest,1,28080,28080,9912;-1;-1,2944;-1;-1,,,,,458.4432198100008,6825.384,0:t_wait:1880.94937143899;t_drive:758.4432198100003;fare:682,,,0.0,35.0,29960.949371438983,30719.392591248983,682.0,0
51,669,BasicRequest,1,28080,28080,9912;-1;-1,2944;-1;-1,,,,,458.4432198100008,6825.384,0:t_wait:1880.94937143899;t_drive:758.4432198100003;fare:682,,,0.0,35.0,29960.949371438983,30719.392591248983,682.0,0
52,671,BasicRequest,1,29880,29880,9912;-1;-1,2944;-1;-1,,,,,458.4432198100008,6825.384,0:t_wait:80.94937143898642;t_drive:758.4432198100003;fare:682,,,0.0,35.0,29960.949371438983,30719.392591248983,682.0,0
53,1427,BasicRequest,1,28620,28620,10129;-1;-1,2944;-1;-1,,,,,746.8954470284295,11654.356999999998,0:t_wait:797.5377166830986;t_drive:1046.8954470284298;fare:1165,,,0.0,39.0,29417.53771668309,30764.433163711525,1165.0,0
54,841,BasicRequest,1,29820,29820,3022;-1;-1,2944;-1;-1,,,,,593.5259374642842,9186.113999999998,0:t_wait:50.90722624724003;t_drive:893.5259374642847;fare:918,,,0.0,39.0,29870.90722624724,30764.433163711525,918.0,0
55,1747,BasicRequest,1,28020,28020,2967;-1;-1,2944;-1;-1,,,,,566.7748615940052,9249.51,0:t_wait:580.4533852657623;t_drive:866.7748615940036;fare:924,,,0.0,34.0,30095.19721611502,30961.972077709022,924.0,0
56,535,BasicRequest,1,29940,29940,11009;-1;-1,2944;-1;-1,,,,,460.5795270173272,7053.793,0:t_wait:410.90415012044105;t_drive:760.5795270173257;fare:705,,,0.0,17.0,30350.90415012044,31111.48367713776,705.0,0
57,1671,BasicRequest,1,28440,28440,6968;-1;-1,2944;-1;-1,,,,,635.7403684889254,10073.012000000002,0:t_wait:1754.7034807758318;t_drive:935.740368488925;fare:1007,,,0.0,37.0,30194.703480775817,31130.443849264742,1007.0,0
58,1357,BasicRequest,1,30000,30000,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:516.6024678743779;t_drive:815.5209331182377;fare:848,,,0.0,48.0,30516.602467874374,31332.123400992616,848.0,0
59,1375,BasicRequest,1,30000,30000,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:516.6024678743779;t_drive:815.5209331182377;fare:848,,,0.0,48.0,30516.602467874374,31332.123400992616,848.0,0
60,1335,BasicRequest,1,30000,30000,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:516.6024678743779;t_drive:815.5209331182377;fare:848,,,0.0,48.0,30516.602467874374,31332.123400992616,848.0,0
61,2169,BasicRequest,1,27780,27780,4085;-1;-1,2944;-1;-1,,,,,1526.8457267854053,25785.518000000004,0:t_wait:1527.883311043337;t_drive:1826.8457267854064;fare:2578,,,0.0,31.0,29307.88331104334,31434.729037828747,2578.0,0
62,2187,BasicRequest,1,29580,29580,4085;-1;-1,2944;-1;-1,,,,,1526.8457267854053,25785.518000000004,0:t_wait:27.883311043340655;t_drive:1826.8457267854064;fare:2578,,,0.0,31.0,29607.88331104334,31434.729037828747,2578.0,0
63,691,BasicRequest,1,29760,29760,10054;-1;-1,2944;-1;-1,,,,,704.233884521482,12170.767999999998,0:t_wait:631.1672917465803;t_drive:1004.2338845214836;fare:1217,,,0.0,47.0,30391.167291746577,31395.40117626806,1217.0,0
64,695,BasicRequest,1,29760,29760,10054;-1;-1,2944;-1;-1,,,,,704.233884521482,12170.767999999998,0:t_wait:631.1672917465803;t_drive:1004.2338845214836;fare:1217,,,0.0,47.0,30391.167291746577,31395.40117626806,1217.0,0
65,533,BasicRequest,1,29040,29040,11009;-1;-1,2944;-1;-1,,,,,460.5795270173272,7053.793,0:t_wait:1738.0881904060334;t_drive:760.5795270173257;fare:705,,,0.0,20.0,30778.08819040601,31538.667717423334,705.0,0
66,1777,BasicRequest,1,31680,31680,6323;-1;-1,2944;-1;-1,,,,,inf,inf,0:,,,,,,,,0
67,1771,BasicRequest,1,31680,31680,6323;-1;-1,2944;-1;-1,,,,,inf,inf,0:,,,,,,,,0
68,3063,BasicRequest,1,26640,26640,5119;-1;-1,2944;-1;-1,,,,,1286.3651910969515,23131.246,0:t_wait:1294.1839630783325;t_drive:1586.365191096953;fare:2313,,,0.0,21.0,30098.344584389484,31684.70977548644,2313.0,0
69,1457,BasicRequest,1,28980,28980,3015;-1;-1,2944;-1;-1,,,,,518.6047215876927,8531.738000000001,0:t_wait:1929.9458508685311;t_drive:818.6047215876933;fare:853,,,0.0,28.0,30909.945850868527,31728.550572456224,853.0,0
70,279,BasicRequest,1,28680,28680,9863;-1;-1,2944;-1;-1,,,,,1389.5427388420187,23804.448,0:t_wait:1346.1349601689872;t_drive:1689.5427388420176;fare:2380,,,0.0,40.0,30026.13496016899,31715.67769901101,2380.0,0
71,433,BasicRequest,1,31200,31200,3028;-1;-1,2944;-1;-1,,,,,100.0934860791131,1298.014,0:t_wait:102.26828723615472;t_drive:400.09348607911306;fare:129,,,0.0,56.0,31302.26828723615,31702.36177331526,129.0,0
72,2285,BasicRequest,1,27120,27120,4091;-1;-1,2944;-1;-1,,,,,1072.6926418309508,16879.046000000002,0:t_wait:2713.474807622435;t_drive:1372.6926418309522;fare:1687,,,0.0,25.0,29833.474807622435,31744.71185636701,1687.0,0
73,1755,BasicRequest,1,30720,30720,2967;-1;-1,2944;-1;-1,,,,,566.7748615940052,9249.51,0:t_wait:157.9369947730047;t_drive:866.7748615940036;fare:924,,,0.0,25.0,30877.936994773005,31744.71185636701,924.0,0
74,945,BasicRequest,1,30360,30360,5938;-1;-1,2944;-1;-1,,,,,583.8938242470693,8823.329000000002,0:t_wait:560.0764905754077;t_drive:883.8938242470686;fare:882,,,0.0,29.0,30920.076490575408,31803.970314822476,882.0,0
75,1323,BasicRequest,1,29100,29100,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:1931.8905913780764;t_drive:815.5209331182377;fare:848,,,0.0,41.0,31031.890591378076,31847.41152449631,848.0,0
76,1337,BasicRequest,1,29100,29100,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:1931.8905913780764;t_drive:815.5209331182377;fare:848,,,0.0,41.0,31031.890591378076,31847.41152449631,848.0,0
77,1591,BasicRequest,1,30780,30780,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:t_wait:427.49913589749485;t_drive:718.4444783329673;fare:639,,,0.0,53.0,31207.49913589749,31925.94361423046,639.0,0
78,1379,BasicRequest,1,28920,28920,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:t_wait:2292.2412392796796;t_drive:892.6384329904104;fare:917,,,0.0,23.0,31212.24123927968,32104.87967227009,917.0,0
79,1171,BasicRequest,1,30480,30480,10077;-1;-1,2944;-1;-1,,,,,723.2542463094488,10942.675,0:t_wait:683.7305003670735;t_drive:1023.2542463094505;fare:1094,,,0.0,51.0,31163.73050036708,32186.98474667653,1094.0,0
80,1235,BasicRequest,1,30540,30540,10742;-1;-1,2944;-1;-1,,,,,769.3188525680392,13827.252,0:t_wait:729.9082138411395;t_drive:1069.318852568038;fare:1382,,,0.0,26.0,31269.908213841143,32339.227066409185,1382.0,0
81,2867,BasicRequest,1,29700,29700,4814;-1;-1,2944;-1;-1,,,,,1457.4421252319858,32092.27,0:t_wait:1000.1363138328779;t_drive:1757.4421252319844;fare:3209,,,0.0,46.0,30700.136313832863,32457.57843906484,3209.0,0
82,57,BasicRequest,1,24120,24120,9495;-1;-1,2944;-1;-1,,,,,3453.678039952953,77725.0,0:t_wait:3468.9857667630968;t_drive:3753.6780399529525;fare:7772,,,0.0,5.0,27588.98576676311,32511.65738405594,7772.0,0
83,2561,BasicRequest,1,28140,28140,10540;-1;-1,2944;-1;-1,,,,,2953.2790413648163,63816.982,0:t_wait:1118.3783426911214;t_drive:3253.2790413648145;fare:6381,,,0.0,5.0,29258.37834269112,32511.65738405594,6381.0,0
84,1221,BasicRequest,1,30840,30840,10085;-1;-1,2944;-1;-1,,,,,513.6480541870769,7918.483,0:t_wait:466.5548553589906;t_drive:813.6480541870769;fare:791,,,0.0,54.0,31717.4646666528,32531.112720839865,791.0,0
