node_index,osm_id,is_stop_only,pos_x,pos_y
182,162951738,False,-87.4739805,36.8608879
183,162951794,False,-87.4739239,36.8613673
184,162951798,False,-87.4739478,36.8614783
185,162951908,False,-87.4717721,36.8614092
186,162951927,False,-87.4714857,36.8616895
187,162951960,False,-87.4719437,36.8619975
188,162954360,False,-87.4689731,36.8948589
189,162954426,False,-87.4667935,36.8944697
190,162954443,False,-87.467225,36.89425
191,162954454,False,-87.466828,36.8941263
192,162956267,False,-87.6288129,36.8147933
193,162956306,False,-87.63377,36.816968
194,162956313,False,-87.63416,36.816903
195,162956318,False,-87.634727,36.816907
196,162956437,False,-87.633722,36.814869
197,162957433,False,-87.4629053,37.0501521
198,162957458,False,-87.4629891,37.0503728
199,162957478,False,-87.4627065,37.0503802
200,162959458,False,-87.348716,36.647854
201,162959543,False,-87.353728,36.650066
202,162959619,False,-87.468969,36.8944492
203,162959678,False,-87.4672414,36.8935502
204,162959709,False,-87.4677305,36.894226
205,162959746,False,-87.4669128,36.8939719
206,162961924,False,-87.4653185,37.0500265
207,162961946,False,-87.4657795,37.0502566
208,162963195,False,-87.453697,36.698627
209,162964154,False,-87.536883,36.836808
210,162964156,False,-87.536775,36.836978
211,162964163,False,-87.533211,36.83542
212,162964165,False,-87.533094,36.835586
213,162964172,False,-87.548474,36.841203
214,162964174,False,-87.548373,36.841368
215,162965300,False,-87.550365,36.863597
216,162965304,False,-87.550162,36.86349
217,162965764,False,-87.4707409,36.8358895
218,162965785,False,-87.4730795,36.8332376
219,162965808,False,-87.4736445,36.8333644
220,162965872,False,-87.4636619,36.8455597
221,162967856,False,-87.551512,36.846572
222,162967862,False,-87.551277,36.84659
223,162967868,False,-87.461374,36.7051046
224,162967928,False,-87.455704,36.701081
225,162967938,False,-87.454636,36.701096
226,162967942,False,-87.4544801,36.7012572
227,162968849,False,-87.471881,36.8616326
228,162968874,False,-87.4818036,36.8178381
229,162968876,False,-87.4817371,36.8180048
230,162969478,False,-87.480379,36.861331
231,162969495,False,-87.479682,36.860837
232,162975455,False,-87.4656211,36.8415107
233,162975488,False,-87.4637825,36.8449751
234,162976761,False,-87.456271,36.7067
235,162978919,False,-87.4652422,37.0502809
236,162978921,False,-87.4651089,37.0503685
237,162979630,False,-87.4708356,36.8951587
238,162979648,False,-87.471235,36.894992
239,162979740,False,-87.4712147,36.8952676
240,162980312,False,-87.3992841,36.6796032
241,162980374,False,-87.403892,36.683383
242,162980424,False,-87.404994,36.680558
243,162980445,False,-87.404083,36.680343
244,162980620,False,-87.405339,36.679682
245,162980630,False,-87.403523,36.684324
246,162982422,False,-87.4691208,36.8948779
247,162982484,False,-87.4707958,36.8958668
248,162982510,False,-87.4702903,36.8951708
249,162984818,False,-87.463221,37.0503633
250,162984819,False,-87.4630946,37.0504495
251,162984826,False,-87.4630187,37.0506864
252,162987356,False,-87.4711592,36.8954127
253,162989314,False,-87.4720778,36.8616059
254,162989316,False,-87.471944,36.8617352
255,162989450,False,-87.480067,36.860606
256,162989463,False,-87.479812,36.860786
257,162993321,False,-87.634213,36.817143
258,162997770,False,-87.463993,36.845623
259,163000825,False,-87.480289,36.838992
260,163006597,False,-87.460361,36.842957
261,163007974,False,-87.458118,36.864349
262,163007989,False,-87.459804,36.864058
263,163008008,False,-87.470189,36.861995
264,163008017,False,-87.4713219,36.8618311
265,163008036,False,-87.475992,36.861179
266,163008044,False,-87.47877,36.860807
267,163008056,False,-87.4801608,36.8608634
268,163008162,False,-87.458121,36.864319
269,163008176,False,-87.4801909,36.8609366
270,163009650,False,-87.4840885,36.863414
271,163009961,False,-87.30062,36.843543
272,163009964,False,-87.300982,36.84348
273,163010051,False,-87.324441,36.847599
274,163013848,False,-87.4531769,36.6962269
275,163014382,False,-87.480044,36.860488
276,163017855,False,-87.487037,37.047979
277,163019186,False,-87.471005,36.850798
278,163019193,False,-87.471428,36.850404
279,163019331,False,-87.471474,36.851128
280,163020333,False,-87.301228,36.847009
281,163020536,False,-87.301257,36.847203
282,163020571,False,-87.450958,36.862979
283,163020734,False,-87.424495,36.8573
284,163020736,False,-87.424725,36.857377
285,163022057,False,-87.410223,36.884865
286,163024258,False,-87.366344,37.009316
287,163025595,False,-87.511598,36.879807
288,163025631,False,-87.520224,36.886773
289,163025634,False,-87.520292,36.886821
290,163025870,False,-87.600887,36.935005
291,163025886,False,-87.605899,36.938506
292,163026046,False,-87.666372,36.991094
293,163026052,False,-87.672269,36.996976
294,163026576,False,-87.468093,36.865363
295,163026635,False,-87.461361,36.866108
296,163028937,False,-87.358094,36.983924
297,163030883,False,-87.574445,37.075426
298,163031232,False,-87.61627,37.06848
299,163032560,False,-87.658202,36.882246
300,163032609,False,-87.646742,36.879369
301,163032813,False,-87.54653,36.874207
302,163032846,False,-87.546298,36.8741561
303,163032858,False,-87.543465,36.87347
304,163033026,False,-87.658173,36.882058
305,163033063,False,-87.646833,36.879193
306,163033325,False,-87.546581,36.874026
307,163033513,False,-87.566121,36.733437
308,163033787,False,-87.453426,36.696251
309,163034501,False,-87.358842,36.98322
310,163034508,False,-87.357509,36.984478
311,163034723,False,-87.305138,37.016959
312,163035279,False,-87.454634,36.889202
313,163036494,False,-87.4644111,36.734155
314,163036652,False,-87.4643927,36.7341068
315,163042621,False,-87.497191,37.086423
316,163043014,False,-87.492732,36.8599391
317,163043020,False,-87.4917505,36.8595073
318,163044542,False,-87.616038,37.067982
319,163044870,False,-87.649321,37.05757
320,163052947,False,-87.482719,36.862818
321,163055323,False,-87.508378,36.878488
322,163056428,False,-87.513682,36.895403
323,163056449,False,-87.513395,36.893072
324,163056452,False,-87.513385,36.893004
325,163056462,False,-87.512867,36.8899
326,163056549,False,-87.513303,36.893022
327,163056552,False,-87.513311,36.893091
328,163056998,False,-87.577028,36.97735
329,163057664,False,-87.621566,37.08035
330,163057853,False,-87.6417,37.08832
331,163061816,False,-87.61156,36.695664
332,163062268,False,-87.510102,36.810071
333,163062317,False,-87.504794,36.821663
334,163062320,False,-87.504699,36.821851
335,163062431,False,-87.498457,36.842635
336,163062737,False,-87.4905982,36.8630411
337,163062745,False,-87.4896137,36.862607
338,163063834,False,-87.4676304,37.0502328
339,163064253,False,-87.6286126,36.8145064
340,163064393,False,-87.5092495,36.7427456
341,163064399,False,-87.4995,36.737007
342,163064541,False,-87.4556133,36.7028808
343,163065095,False,-87.4593082,36.7045643
344,163066027,False,-87.630185,36.798894
345,163066219,False,-87.665461,36.759064
346,163066222,False,-87.665794,36.758806
347,163067999,False,-87.445494,36.834874
348,163068140,False,-87.472157,36.818638
349,163068173,False,-87.472109,36.818443
350,163068329,False,-87.445263,36.834782
351,163069393,False,-87.353819,36.778415
352,163071799,False,-87.4724766,36.8578373
353,163071958,False,-87.4691073,36.8944859
354,163072619,False,-87.4616749,36.8484226
355,163072653,False,-87.4710406,36.8565822
356,163073897,False,-87.485131,37.124716
357,163073928,False,-87.503601,36.860601
358,163074004,False,-87.499495,36.871237
359,163079148,False,-87.539913,36.880121
360,163079251,False,-87.522949,36.883654
361,163080302,False,-87.516864,36.860357
362,163080409,False,-87.4908303,36.8105669
363,163080480,False,-87.470949,36.812691
364,163080483,False,-87.470749,36.812709
365,163085433,False,-87.410086,36.884556
366,163087286,False,-87.480707,36.897867
367,163087350,False,-87.462898,36.891933
368,163087468,False,-87.48074,36.898048
369,163096074,False,-87.658368,36.659281
370,163096491,False,-87.4879052,36.8650928
371,163096865,False,-87.484284,36.873049
372,163096955,False,-87.480636,36.892822
373,163100446,False,-87.663487,36.876322
374,163100478,False,-87.657618,36.876719
375,163104382,False,-87.495894,37.093285
376,163104646,False,-87.478075,37.125514
377,163106319,False,-87.340297,37.101294
378,163107917,False,-87.481025,36.862062
379,163108051,False,-87.464657,36.846229
380,163117684,False,-87.55293,36.856791
381,163117687,False,-87.552698,36.856838
382,163119833,False,-87.349308,37.085188
383,163120284,False,-87.358656,36.984892
384,163120360,False,-87.368225,37.004215
385,163120369,False,-87.368093,37.00495
386,163121627,False,-87.487012,36.898156
387,163121679,False,-87.518119,36.889396
388,163121906,False,-87.484892,36.818221
389,163121943,False,-87.472298,36.818411
390,163121987,False,-87.509225,36.893629
391,163122050,False,-87.516483,36.891332
392,163122067,False,-87.472348,36.818605
393,163122098,False,-87.4811969,36.8179325
394,163122994,False,-87.4427828,36.6609642
395,163123002,False,-87.4422252,36.6609641
396,163130999,False,-87.460872,37.05026
397,163145837,False,-87.4626828,37.0504638
398,163146015,False,-87.426162,37.048273
399,163146486,False,-87.368796,37.004985
400,163148460,False,-87.48078,36.898335
401,163155279,False,-87.4835268,36.8418785
402,163155352,False,-87.480103,36.838857
403,163155396,False,-87.47393,36.833602
404,163155423,False,-87.473085,36.829714
405,163155943,False,-87.4735441,36.8330069
406,163156249,False,-87.4528295,36.6929481
407,163156337,False,-87.4436664,36.6666861
408,163156395,False,-87.4363332,36.6425426
409,163158017,False,-87.903511,37.34984
410,163158019,False,-87.904601,37.350402
411,163158222,False,-87.991927,37.347722
412,163158718,False,-87.90369,37.350741
