operator_id,vehicle_id,vehicle_type,status,locked,start_time,end_time,start_pos,end_pos,driven_distance,start_soc,end_soc,charging_power,charging_unit,toll,rq_on_board,occupancy,rq_boarding,rq_alighting,route,trajectory
0,1,default_vehtype,boarding,True,27647.849896096013,27677.849896096013,5087;-1;-1,5087;-1;-1,0.0,0.5622461318274263,0.5622461318274263,0.0,,0,3019,1,3019,,,
0,2,default_vehtype,boarding,True,27634.754628588973,27664.754628588973,4854;-1;-1,4854;-1;-1,0.0,0.6198954684008015,0.6198954684008015,0.0,,0,2829,1,2829,,,
0,4,default_vehtype,route,False,27563.234286195075,27689.640248503536,4189;-1;-1,4078;-1;-1,2417.2170000000006,0.9706121673247919,0.9703704456247919,0.0,,0,2059,1,,,4189;4191;4053;4078,4189:27563.234286195075;4191:27564.34192553587;4053:27674.170057653395;4078:27689.640248503536
0,4,default_vehtype,boarding,True,27689.640248503536,27719.640248503536,4078;-1;-1,4078;-1;-1,0.0,0.9703704456247919,0.9703704456247919,0.0,,0,2059;2237;2243,3,2237;2243,,,
0,9,default_vehtype,boarding,True,27631.00589605026,27661.00589605026,6828;-1;-1,6828;-1;-1,0.0,0.6260511940698911,0.6260511940698911,0.0,,0,911;917,2,911;917,,,
0,6,default_vehtype,route,False,27120.0,27751.167291746577,2944;-1;-1,10054;-1;-1,10396.712,0.5806547589424982,0.5796150877424983,0.0,,0,,0,,,2944;2986;3046;2935;2936;2948;6065;3024;3029;3004;2939;2930;3001;5251;2961;3040;11086;10042;10037;9912;10004;10003;10002;10054,2944:27120;2986:27157.72097734942;3046:27161.61151287197;2935:27179.24902853052;2936:27187.696950021953;2948:27193.214353386305;6065:27210.040522382893;3024:27217.87589505648;3029:27230.70472469141;3004:27247.07825949814;2939:27253.10417440508;2930:27258.708818284824;3001:27265.630058953604;5251:27300.664715488016;2961:27319.953417681492;3040:27403.989761504992;11086:27413.598201785186;10042:27481.396609086547;10037:27482.10854571625;9912:27584.522199975378;10004:27585.097900384986;10003:27586.15948643673;10002:27646.352885557295;10054:27751.167291746577
0,7,default_vehtype,route,False,27120.0,27763.280702645076,2944;-1;-1,3013;-1;-1,10161.131000000001,0.9458865003910399,0.9448703872910401,0.0,,0,,0,,,2944;2971;3045;6730;5894;5896;5900;6830;5899;3044;5902;3037;5741;5743;3034;3043;3042;10046;9937;10021;9941;9936;10109;3013,2944:27120;2971:27164.009093146025;3045:27204.548390524335;6730:27212.5134627379;5894:27223.54649307602;5896:27225.931593501304;5900:27244.628630744977;6830:27256.72262680797;5899:27259.114635418857;3044:27308.684485728343;5902:27319.076304857568;3037:27331.240961790492;5741:27332.36331167891;5743:27333.42098779159;3034:27333.984629944942;3043:27335.900894840306;3042:27342.156816142255;10046:27521.102833898556;9937:27526.66616024914;10021:27535.13184564642;9941:27545.556297728614;9936:27547.469470388514;10109:27604.585296318026;3013:27763.280702645076
0,9,default_vehtype,route,False,27661.00589605026,27735.973394681787,6828;-1;-1,2950;-1;-1,1139.4579999999996,0.6260511940698911,0.6259372482698911,0.0,,0,911;917,2,,,6828;6734;2970;2950,6828:27661.00589605026;6734:27666.915092226944;2970:27732.373703642163;2950:27735.973394681787
0,9,default_vehtype,boarding,True,27735.973394681787,27765.973394681787,2950;-1;-1,2950;-1;-1,0.0,0.6259372482698911,0.6259372482698911,0.0,,0,911;917;1607,3,1607,,,
0,6,default_vehtype,boarding,True,27751.167291746577,27781.167291746577,10054;-1;-1,10054;-1;-1,0.0,0.5796150877424983,0.5796150877424983,0.0,,0,699,1,699,,,
