request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2792,BasicRequest,1,35100,35100,2944;-1;-1,4894;-1;-1,,,,,1244.5487421069813,22500.82,0:,,,,,,,,0
2828,BasicRequest,1,35100,35100,2944;-1;-1,4862;-1;-1,,,,,1193.1354660934462,21328.222999999998,0:,,,,,,,,0
2966,BasicRequest,1,35100,35100,2944;-1;-1,5384;-1;-1,,,,,3983.1533084431644,90510.931,0:,,,,,,,,0
2990,BasicRequest,1,35100,35100,2944;-1;-1,12394;-1;-1,,,,,6944.770934055761,167122.169,0:,,,,,,,,0
3115,BasicRequest,1,35100,35100,5084;-1;-1,2944;-1;-1,,,,,2187.0206784455045,50223.59,0:,,,,,,,,0
1752,BasicRequest,1,33300,33300,2944;-1;-1,2967;-1;-1,,,,,580.4533852657621,9273.166,0:t_wait:1138.9605366345932;t_drive:717.9159092204063;fare:927,,,0.0,28.0,34438.960536634615,35156.87644585502,927.0,0
1831,BasicRequest,1,35160,35160,3148;-1;-1,2944;-1;-1,,,,,2259.7200744512675,51121.64,0:,,,,,,,,0
1855,BasicRequest,1,35160,35160,3171;-1;-1,2944;-1;-1,,,,,2077.248750078596,41268.163,0:,,,,,,,,0
2265,BasicRequest,1,35160,35160,4091;-1;-1,2944;-1;-1,,,,,1072.6926418309508,16879.046000000002,0:,,,,,,,,0
728,BasicRequest,1,34200,34200,2944;-1;-1,10066;-1;-1,,,,,504.71639808156476,7932.165,0:t_wait:478.2033511382906;t_drive:534.7163980815676;fare:793,,,0.0,0.0,34678.20335113831,35212.91974921989,793.0,0
2168,BasicRequest,1,32400,32400,2944;-1;-1,4085;-1;-1,,,,,1527.8833110433388,25812.455,0:t_wait:1064.4877489527717;t_drive:1602.2746789245357;fare:2581,,,0.0,19.0,33464.48774895278,35205.43819735947,2581.0,0
2180,BasicRequest,1,32400,32400,2944;-1;-1,4085;-1;-1,,,,,1527.8833110433388,25812.455,0:t_wait:1064.4877489527717;t_drive:1602.2746789245357;fare:2581,,,0.0,19.0,33464.48774895278,35205.43819735947,2581.0,0
2797,BasicRequest,1,33780,33780,5910;-1;-1,2944;-1;-1,,,,,955.7713256717296,16839.322,0:t_wait:385.5756726114196;t_drive:985.7713256717325;fare:1683,,,0.0,24.0,34195.575672611434,35181.34699828317,1683.0,0
2801,BasicRequest,1,33780,33780,5910;-1;-1,2944;-1;-1,,,,,955.7713256717296,16839.322,0:t_wait:385.5756726114196;t_drive:985.7713256717325;fare:1683,,,0.0,24.0,34195.575672611434,35181.34699828317,1683.0,0
2841,BasicRequest,1,33780,33780,4854;-1;-1,2944;-1;-1,,,,,1149.9587504620706,24398.956,0:t_wait:0;t_drive:1401.346998283152;fare:2439,,,0.0,24.0,33780.0,35181.34699828317,2439.0,0
1405,BasicRequest,1,35220,35220,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:,,,,,,,,0
1515,BasicRequest,1,35220,35220,3009;-1;-1,2944;-1;-1,,,,,481.793148003865,7821.142,0:,,,,,,,,0
1799,BasicRequest,1,35220,35220,6323;-1;-1,2944;-1;-1,,,,,inf,inf,0:,,,,,,,,0
2661,BasicRequest,1,35220,35220,4780;-1;-1,2944;-1;-1,,,,,3285.9978366979644,56602.78400000002,0:,,,,,,,,0
2953,BasicRequest,1,35220,35220,4965;-1;-1,2944;-1;-1,,,,,4067.1592029706817,90422.99100000001,0:,,,,,,,,0
2125,BasicRequest,1,32820,32820,4149;-1;-1,2944;-1;-1,,,,,1186.9811788127922,18690.023999999998,0:t_wait:1185.0102422075652;t_drive:1216.9811788127918;fare:1869,,,0.0,12.0,34005.010242207565,35251.99142102037,1869.0,0
2127,BasicRequest,1,32820,32820,4149;-1;-1,2944;-1;-1,,,,,1186.9811788127922,18690.023999999998,0:t_wait:1185.0102422075652;t_drive:1216.9811788127918;fare:1869,,,0.0,12.0,34005.010242207565,35251.99142102037,1869.0,0
1347,BasicRequest,1,33600,33600,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:1106.4704879021228;t_drive:545.5209331182341;fare:848,,,0.0,12.0,34706.47048790212,35251.99142102037,848.0,0
1371,BasicRequest,1,33600,33600,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:1106.4704879021228;t_drive:545.5209331182341;fare:848,,,0.0,12.0,34706.47048790212,35251.99142102037,848.0,0
673,BasicRequest,1,35280,35280,9912;-1;-1,2944;-1;-1,,,,,458.44321981000076,6825.384,0:,,,,,,,,0
923,BasicRequest,1,35280,35280,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:,,,,,,,,0
933,BasicRequest,1,35280,35280,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:,,,,,,,,0
3045,BasicRequest,1,32820,32820,5130;-1;-1,2944;-1;-1,,,,,1363.4569196772527,25690.742999999995,0:t_wait:968.2262958758001;t_drive:1393.45691967725;fare:2569,,,0.0,16.0,33788.226295875815,35308.84781283982,2569.0,0
3059,BasicRequest,1,32820,32820,5130;-1;-1,2944;-1;-1,,,,,1363.4569196772527,25690.742999999995,0:t_wait:968.2262958758001;t_drive:1393.45691967725;fare:2569,,,0.0,16.0,33788.226295875815,35308.84781283982,2569.0,0
1725,BasicRequest,1,34380,34380,6422;-1;-1,2944;-1;-1,,,,,513.3269872774167,8363.664999999999,0:t_wait:385.52082556239475;t_drive:543.3269872774181;fare:836,,,0.0,16.0,34765.5208255624,35308.84781283982,836.0,0
2536,BasicRequest,1,32400,32400,2944;-1;-1,8031;-1;-1,,,,,2689.9870165215525,58367.38800000001,0:t_wait:0;t_drive:2719.9870165215543;fare:5836,,,0.0,22.0,32400.0,35328.61892668093,5836.0,0
547,BasicRequest,1,35340,35340,11009;-1;-1,2944;-1;-1,,,,,460.57952701732717,7053.793,0:,,,,,,,,0
551,BasicRequest,1,35340,35340,11009;-1;-1,2944;-1;-1,,,,,460.57952701732717,7053.793,0:,,,,,,,,0
553,BasicRequest,1,35340,35340,11009;-1;-1,2944;-1;-1,,,,,460.57952701732717,7053.793,0:,,,,,,,,0
765,BasicRequest,1,35340,35340,9933;-1;-1,2944;-1;-1,,,,,580.7911487421479,9075.622,0:,,,,,,,,0
1219,BasicRequest,1,35340,35340,10017;-1;-1,2944;-1;-1,,,,,554.1076300054582,8621.367,0:,,,,,,,,0
1221,BasicRequest,1,35340,35340,10017;-1;-1,2944;-1;-1,,,,,554.1076300054582,8621.367,0:,,,,,,,,0
1487,BasicRequest,1,35340,35340,3019;-1;-1,2944;-1;-1,,,,,439.43494444097416,6817.544000000001,0:,,,,,,,,0
2585,BasicRequest,1,35340,35340,10540;-1;-1,2944;-1;-1,,,,,2953.2790413648163,63816.981999999996,0:,,,,,,,,0
759,BasicRequest,1,33540,33540,9933;-1;-1,2944;-1;-1,,,,,580.7911487421479,9075.622,0:t_wait:1105.898636300306;t_drive:610.7911487421516;fare:907,,,0.0,1.0,34645.89863630031,35364.84836910725,907.0,0
1209,BasicRequest,1,34440,34440,10017;-1;-1,2944;-1;-1,,,,,554.1076300054582,8621.367,0:t_wait:340.7407391017696;t_drive:584.1076300054556;fare:862,,,0.0,1.0,34780.74073910178,35364.84836910725,862.0,0
1592,BasicRequest,1,34200,34200,2944;-1;-1,2950;-1;-1,,,,,427.4991358974962,6532.039,0:t_wait:719.8190492828144;t_drive:457.49913589749485;fare:653,,,0.0,2.0,34919.81904928282,35377.31818518032,653.0,0
1622,BasicRequest,1,34200,34200,2944;-1;-1,2950;-1;-1,,,,,427.4991358974962,6532.039,0:t_wait:719.8190492828144;t_drive:457.49913589749485;fare:653,,,0.0,2.0,34919.81904928282,35377.31818518032,653.0,0
804,BasicRequest,1,34200,34200,2944;-1;-1,9939;-1;-1,,,,,452.3155588328448,6994.254000000002,0:t_wait:675.9054008922249;t_drive:482.31555883284454;fare:699,,,0.0,25.0,34875.905400892225,35358.22095972507,699.0,0
1343,BasicRequest,1,35400,35400,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:,,,,,,,,0
1825,BasicRequest,1,35400,35400,3105;-1;-1,2944;-1;-1,,,,,2047.2198312212167,44733.561,0:,,,,,,,,0
2013,BasicRequest,1,35400,35400,7814;-1;-1,2944;-1;-1,,,,,8337.857995963172,171644.20499999996,0:,,,,,,,,0
2889,BasicRequest,1,35400,35400,4807;-1;-1,2944;-1;-1,,,,,1845.4694829628374,42926.090000000004,0:,,,,,,,,0
2323,BasicRequest,1,35460,35460,11933;-1;-1,2944;-1;-1,,,,,6007.653742467155,131730.46400000004,0:,,,,,,,,0
2693,BasicRequest,1,35460,35460,10660;-1;-1,2944;-1;-1,,,,,2962.170951590587,66860.97200000001,0:,,,,,,,,0
3025,BasicRequest,1,35460,35460,5087;-1;-1,2944;-1;-1,,,,,1184.4015216485059,22060.880000000005,0:,,,,,,,,0
942,BasicRequest,1,34200,34200,2944;-1;-1,6828;-1;-1,,,,,451.0058960502598,5946.072,0:t_wait:719.8190492828144;t_drive:481.00589605025743;fare:594,,,0.0,2.0,34919.81904928282,35486.65185449271,594.0,0
883,BasicRequest,1,33540,33540,10053;-1;-1,2944;-1;-1,,,,,694.1199287876337,12039.505,0:t_wait:1015.4446046248195;t_drive:724.119928787637;fare:1203,,,0.0,29.0,34555.44460462483,35471.32419043525,1203.0,0
1257,BasicRequest,1,34140,34140,10742;-1;-1,2944;-1;-1,,,,,769.3188525680392,13827.252,0:t_wait:532.0053378672092;t_drive:799.318852568038;fare:1382,,,0.0,29.0,34672.005337867224,35471.32419043525,1382.0,0
1271,BasicRequest,1,34140,34140,10742;-1;-1,2944;-1;-1,,,,,769.3188525680392,13827.252,0:t_wait:532.0053378672092;t_drive:799.318852568038;fare:1382,,,0.0,29.0,34672.005337867224,35471.32419043525,1382.0,0
2091,BasicRequest,1,35520,35520,7003;-1;-1,2944;-1;-1,,,,,1256.8505773708016,22773.595999999998,0:,,,,,,,,0
1012,BasicRequest,1,34200,34200,2944;-1;-1,5937;-1;-1,,,,,496.6020506229107,7781.149000000001,0:t_wait:813.444336251574;t_drive:526.6020506229106;fare:778,,,0.0,5.0,35013.44433625158,35540.046386874485,778.0,0
1404,BasicRequest,1,34200,34200,2944;-1;-1,3013;-1;-1,,,,,643.2807026450823,10161.131000000001,0:t_wait:685.3407676454808;t_drive:673.2807026450828;fare:1016,,,0.0,26.0,34885.34076764548,35558.62147029056,1016.0,0
1416,BasicRequest,1,34200,34200,2944;-1;-1,3013;-1;-1,,,,,643.2807026450823,10161.131000000001,0:t_wait:685.3407676454808;t_drive:673.2807026450828;fare:1016,,,0.0,26.0,34885.34076764548,35558.62147029056,1016.0,0
301,BasicRequest,1,35580,35580,9907;-1;-1,2944;-1;-1,,,,,3458.5202320866074,74845.087,0:,,,,,,,,0
836,BasicRequest,1,34200,34200,2944;-1;-1,3022;-1;-1,,,,,644.1682071189549,10175.414,0:t_wait:685.3407676454808;t_drive:674.1682071189571;fare:1017,,,0.0,26.0,34885.34076764548,35589.50897476444,1017.0,0
1901,BasicRequest,1,35640,35640,9175;-1;-1,2944;-1;-1,,,,,1787.8748732920003,36416.31400000001,0:,,,,,,,,0
1744,BasicRequest,1,34200,34200,2944;-1;-1,2967;-1;-1,,,,,580.4533852657621,9273.166,0:t_wait:719.8190492828144;t_drive:744.5747349870508;fare:927,,,0.0,2.0,34919.81904928282,35664.393784269865,927.0,0
1090,BasicRequest,1,35100,35100,2944;-1;-1,5712;-1;-1,,,,,366.5096936022218,6493.415,0:t_wait:151.9914210203642;t_drive:396.5096936022237;fare:649,,,0.0,12.0,35251.99142102037,35648.501114622595,649.0,0
1540,BasicRequest,1,34200,34200,2944;-1;-1,3009;-1;-1,,,,,481.8503716010762,7822.095,0:t_wait:981.3469982831666;t_drive:511.8503716010746;fare:782,,,0.0,24.0,35181.34699828317,35693.19736988424,782.0,0
