request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2686,BasicRequest,1,46800,46800,2944;-1;-1,12051;-1;-1,,,,,12582.278044346513,274767.297,0:,,,,,,,,0
2730,BasicRequest,1,46800,46800,2944;-1;-1,12113;-1;-1,,,,,4897.369598693818,104736.041,0:,,,,,,,,0
2936,BasicRequest,1,46800,46800,2944;-1;-1,6535;-1;-1,,,,,1493.2499966536398,33420.884,0:,,,,,,,,0
3070,BasicRequest,1,46800,46800,2944;-1;-1,5130;-1;-1,,,,,968.2262958758031,17050.386000000006,0:,,,,,,,,0
3110,BasicRequest,1,46800,46800,2944;-1;-1,5084;-1;-1,,,,,1227.0947915018608,27487.680999999997,0:,,,,,,,,0
1005,BasicRequest,1,46860,46860,5937;-1;-1,2944;-1;-1,,,,,647.368264199565,10071.856,0:,,,,,,,,0
1437,BasicRequest,1,46860,46860,10051;-1;-1,2944;-1;-1,,,,,960.7306057958269,17261.023,0:,,,,,,,,0
1959,BasicRequest,1,46860,46860,8073;-1;-1,2944;-1;-1,,,,,8064.398006409703,178083.26000000007,0:,,,,,,,,0
1389,BasicRequest,1,46920,46920,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:,,,,,,,,0
1401,BasicRequest,1,46920,46920,3013;-1;-1,2944;-1;-1,,,,,592.6384329904115,9171.830999999998,0:,,,,,,,,0
1745,BasicRequest,1,46920,46920,2967;-1;-1,2944;-1;-1,,,,,566.7748615940052,9249.51,0:,,,,,,,,0
1777,BasicRequest,1,46920,46920,6323;-1;-1,2944;-1;-1,,,,,inf,inf,0:,,,,,,,,0
903,BasicRequest,1,46980,46980,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:,,,,,,,,0
1633,BasicRequest,1,46980,46980,6465;-1;-1,2944;-1;-1,,,,,529.3676136718705,8582.099,0:,,,,,,,,0
1707,BasicRequest,1,46980,46980,6422;-1;-1,2944;-1;-1,,,,,513.3269872774167,8363.664999999999,0:,,,,,,,,0
1733,BasicRequest,1,46980,46980,6422;-1;-1,2944;-1;-1,,,,,513.3269872774167,8363.664999999999,0:,,,,,,,,0
2689,BasicRequest,1,46980,46980,10655;-1;-1,2944;-1;-1,,,,,4016.987362615745,86100.40299999999,0:,,,,,,,,0
2983,BasicRequest,1,46980,46980,8605;-1;-1,2944;-1;-1,,,,,4046.6731017066645,84565.66500000001,0:,,,,,,,,0
2991,BasicRequest,1,46980,46980,12253;-1;-1,2944;-1;-1,,,,,8048.6701532609195,172926.27900000004,0:,,,,,,,,0
743,BasicRequest,1,47040,47040,9933;-1;-1,2944;-1;-1,,,,,580.7911487421479,9075.622,0:,,,,,,,,0
781,BasicRequest,1,47040,47040,9939;-1;-1,2944;-1;-1,,,,,467.5412290086855,8034.595999999999,0:,,,,,,,,0
873,BasicRequest,1,47040,47040,10053;-1;-1,2944;-1;-1,,,,,694.1199287876337,12039.505,0:,,,,,,,,0
1211,BasicRequest,1,47040,47040,10017;-1;-1,2944;-1;-1,,,,,554.1076300054582,8621.367,0:,,,,,,,,0
1227,BasicRequest,1,47040,47040,10085;-1;-1,2944;-1;-1,,,,,513.6480541870769,7918.483,0:,,,,,,,,0
1623,BasicRequest,1,47040,47040,2950;-1;-1,2944;-1;-1,,,,,418.44447833296726,6394.414000000001,0:,,,,,,,,0
2603,BasicRequest,1,47040,47040,10569;-1;-1,2944;-1;-1,,,,,7576.53839670998,165850.01300000004,0:,,,,,,,,0
2977,BasicRequest,1,47040,47040,5038;-1;-1,2944;-1;-1,,,,,3396.969536730344,72392.84600000002,0:,,,,,,,,0
2910,BasicRequest,1,44100,44100,2944;-1;-1,4951;-1;-1,,,,,1805.457205292612,33009.937,0:t_wait:247.7144572858524;t_drive:2748.8836749770708;fare:3300,,,0.0,25.0,44347.714457285845,47096.598132262945,3300.0,0
501,BasicRequest,1,47100,47100,10060;-1;-1,2944;-1;-1,,,,,427.3237435185241,6064.819,0:,,,,,,,,0
